millis	xpos	ypos	sX	sY	dpX	dpY	red	green	blue	opacity	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	down	left	right	anlgX	anlgY	anlgU	anlgV	x_mean	y_mean	joy1_int	joy2_int
1266209	766	55	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	987	384	0	0
1278140	855	690	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.1686275	987	384	0	-9
1278174	1024	-47	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.24705887	987	384	0	-13
1278206	859	138	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.15294117	0.28627455	987	384	0	-22
1278242	885	626	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.19215685	0.4666667	987	384	0	-33
1278274	884	651	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.23137254	0.5764706	987	384	0	-41
1278307	918	645	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.26274508	0.69411767	987	384	0	-48
1278339	1004	0	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.3098039	0.77254903	987	384	0	-55
1278373	1150	-37	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.40392154	1.0	987	384	0	-71
1278406	1021	454	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.42745095	1.0	987	384	0	-72
1278442	872	300	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.45098037	1.0	987	384	0	-73
1278474	974	180	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.47450978	1.0	987	384	0	-74
1278507	1071	278	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.4980392	1.0	987	384	0	-75
1278540	913	566	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.5294118	1.0	987	384	0	-77
1278575	1084	671	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.54509807	1.0	987	384	0	-78
1278607	1113	-32	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.54509807	1.0	987	384	0	-78
1278642	987	136	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.5529412	1.0	987	384	0	-78
1278673	1016	380	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.58431375	1.0	987	384	0	-80
1278708	726	580	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.58431375	1.0	987	384	0	-80
1278741	971	430	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.58431375	1.0	987	384	0	-80
1278774	802	556	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.40392154	0.8666667	987	384	0	-64
1278807	982	-64	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.3803922	987	384	0	-20
1278842	783	459	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.24705887	987	384	0	-13
1278875	1021	327	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.20000005	987	384	0	-11
1280711	900	775	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	987	384	0	0
1280740	1085	-205	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	987	384	0	0
1280775	1055	119	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	987	384	0	0
1280807	803	416	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	987	384	0	0
1280842	878	216	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	987	384	0	0
1280878	780	573	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	987	384	0	0
1280911	979	422	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	987	384	0	0
1280941	1008	351	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	987	384	0	0
1280975	1109	298	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	987	384	0	0
1281011	714	102	10	297	133	286	179	116	248	45	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	987	384	0	0
