millis	xpos	ypos	sX	sY	dpX	dpY	red	green	blue	opacity	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	down	left	right	anlgX	anlgY	anlgU	anlgV	x_mean	y_mean	joy1_int	joy2_int
2269552	834	699	381	9	18	36	74	113	44	42	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	830	603	0	0
2275686	819	635	381	9	18	36	74	113	44	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.19999999	0.0	0.49803925	0.0	830	603	-10	24
2275720	830	538	381	9	18	36	74	113	44	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.4980392	0.0	0.96862745	0.0	830	603	-25	48
2275752	827	624	381	9	18	36	74	113	44	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0.0	1.0	0.0	830	603	-50	50
2275786	837	610	381	9	18	36	74	113	44	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0.0	1.0	0.0	830	603	-50	50
2275820	848	645	381	9	18	36	74	113	44	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0.0	1.0	0.0	830	603	-50	50
2275853	858	644	381	9	18	36	74	113	44	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0.0	1.0	0.0	830	603	-50	50
2275886	821	587	381	9	18	36	74	113	44	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0.0	0.94509804	0.0	830	603	-50	47
2275919	819	603	381	9	18	36	74	113	44	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0.0	0.2313726	0.0	830	603	-50	11
2275952	824	668	381	9	18	36	74	113	44	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.92941177	0.0	0.0	0.0	830	603	-47	0
2275986	814	618	381	9	18	36	74	113	44	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.29411763	0.0	0.0	0.0	830	603	-15	0
2276085	835	618	381	9	18	36	74	113	44	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15294123	0.0	0.0	0.0	830	603	7	0
