millis	xpos	ypos	sX	sY	dpX	dpY	red	green	blue	opacity	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	down	left	right	anlgX	anlgY	anlgU	anlgV	x_mean	y_mean	joy1_int	joy2_int
962193	303	800	260	300	0	0	45	240	196	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	303	800	0	0
968894	303	800	260	300	0	0	45	240	196	4	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	303	800	0	0
968923	303	800	260	300	0	0	45	240	196	4	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	303	800	0	0
968960	303	800	260	300	0	0	45	240	196	4	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	303	800	0	0
968989	303	800	260	300	0	0	45	240	196	4	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	303	800	0	0
969025	303	800	260	300	0	0	45	240	196	4	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	303	800	0	0
969057	303	800	260	300	0	0	45	240	196	4	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	303	800	0	0
969456	303	800	260	300	0	0	45	240	196	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	303	800	0	0
969494	303	800	260	300	0	0	45	240	196	4	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	303	800	0	0
969522	303	800	260	300	0	0	45	240	196	4	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	303	800	0	0
969558	303	800	260	300	0	0	45	240	196	4	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	303	800	0	0
969594	303	800	260	300	0	0	45	240	196	4	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	303	800	0	0
969624	303	800	260	300	0	0	45	240	196	4	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	303	800	0	0
969656	303	800	260	300	0	0	45	240	196	4	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	303	800	0	0
969694	303	800	458	138	277	151	45	240	196	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	303	800	0	0
969724	-176	776	249	226	384	243	238	30	175	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	303	800	0	0
972625	-98	548	249	226	384	243	28	24	162	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-0.18431371	0.0	0.0	303	800	9	0
972656	477	756	249	226	384	243	28	24	162	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-0.26274508	0.0	0.24705887	303	800	13	-13
972694	527	1204	249	226	384	243	28	24	162	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-0.36470586	0.0	0.34901965	303	800	18	-18
972727	-240	947	249	226	384	243	28	24	162	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-0.42745095	0.0	0.5294118	303	800	21	-27
972758	233	608	249	226	384	243	28	24	162	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-0.5137255	0.0	0.73333335	303	800	25	-37
972792	232	660	249	226	384	243	28	24	162	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-0.67058825	0.0	0.8901961	303	800	33	-45
972825	1056	877	249	226	384	243	28	24	162	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-0.7882353	0.23921573	1.0	303	800	39	-39
972856	1352	599	249	226	384	243	28	24	162	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-0.84313726	0.4901961	1.0	303	800	42	-26
972895	935	633	249	226	384	243	28	24	162	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-0.88235295	0.6627451	1.0	303	800	44	-17
972928	255	757	249	226	384	243	28	24	162	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.21568626	-0.8980392	0.81960785	1.0	303	800	34	-10
972960	680	960	249	226	384	243	28	24	162	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.34117645	-0.8666667	0.9529412	1.0	303	800	26	-3
972993	560	938	249	226	384	243	28	24	162	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.54509807	-0.8352941	0.99215686	1.0	303	800	14	-1
973025	263	812	249	226	384	243	28	24	162	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.8039216	-0.78039217	1.0	0.8039216	303	800	-2	9
973057	-90	683	249	226	384	243	28	24	162	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-0.60784316	1.0	0.7490196	303	800	-20	12
973096	170	218	249	226	384	243	28	24	162	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-0.46666664	1.0	0.73333335	303	800	-27	13
973127	588	665	249	226	384	243	28	24	162	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-0.4352941	1.0	0.7254902	303	800	-29	13
973161	564	656	249	226	384	243	28	24	162	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-0.4352941	1.0	0.6313726	303	800	-29	18
973192	473	1010	249	226	384	243	28	24	162	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-0.3333333	1.0	0.4431373	303	800	-34	27
973224	407	885	249	226	384	243	28	24	162	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-0.27843136	1.0	0.0	303	800	-37	50
973256	-241	766	249	226	384	243	28	24	162	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.84313726	-0.1607843	0.38823533	0.0	303	800	-35	19
