millis	xpos	ypos	sX	sY	dpX	dpY	red	green	blue	opacity	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	down	left	right	anlgX	anlgY	anlgU	anlgV	x_mean	y_mean	joy1_int	joy2_int
1033285	1015	841	1	28	0	120	97	133	157	164	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1015	796	0	0
1035083	1015	705	1	28	0	120	97	133	157	164	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1015	796	0	0
1035116	1015	1023	1	28	0	120	97	133	157	164	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1015	796	0	0
1035150	1015	759	1	28	0	120	97	133	157	164	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	-0.27843136	0.0	0.0	1015	787	13	0
1035181	1015	705	1	28	0	120	97	133	157	164	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.23921567	-0.52156866	0.0	0.0	1007	771	14	0
1035217	1007	624	1	28	0	120	97	133	157	164	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.7647059	-1.0	0.0	0.0	984	741	11	0
1035249	984	808	1	28	0	120	97	133	157	164	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.96862745	-1.0	0.0	0.0	954	711	1	0
1035283	954	640	1	28	0	120	97	133	157	164	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1.0	-1.0	0.0	0.0	924	681	0	0
1035318	924	603	1	28	0	120	97	133	157	164	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1.0	-1.0	0.0	0.0	894	651	0	0
1035347	894	760	1	28	0	120	97	133	157	164	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1.0	-1.0	0.0	0.0	864	621	0	0
1035382	864	554	1	28	0	120	97	133	157	164	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1.0	-0.8352941	0.0	0.0	834	595	-9	0
1035417	834	549	1	28	0	120	97	133	157	164	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1.0	-0.67058825	0.0	0.0	804	574	-17	0
