millis	xpos	ypos	sX	sY	dpX	dpY	red	green	blue	opacity	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	down	left	right	anlgX	anlgY	anlgU	anlgV	x_mean	y_mean	joy1_int	joy2_int
113406	906	499	1	31	0	0	66	232	161	60	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	906	499	0	0
114336	906	499	150	199	358	264	66	232	161	60	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	906	499	0	0
114369	843	241	227	443	301	149	215	229	18	60	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	906	499	0	0
114403	1168	769	472	104	291	311	91	152	237	60	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	906	499	0	0
114436	404	598	222	111	395	65	83	46	182	60	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	906	499	0	0
116134	1126	525	222	111	395	65	131	163	35	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27058828	0.0	0.0	0.0	906	499	13	0
116168	807	507	222	111	395	65	131	163	35	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5686275	-0.38039213	0.0	0.0	906	499	47	0
116207	1136	440	222	111	395	65	131	163	35	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.827451	-0.7019608	0.0	0.0	906	499	76	0
116235	584	397	222	111	395	65	131	163	35	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8980392	-0.85882354	0.0	0.0	906	499	87	0
116269	743	541	222	111	395	65	131	163	35	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8980392	-0.92941177	0.0	0.0	906	499	91	0
116302	1370	642	222	111	395	65	131	163	35	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45098042	-1.0	0.0	0.0	906	499	72	0
