millis	xpos	ypos	sX	sY	dpX	dpY	red	green	blue	opacity	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	down	left	right	anlgX	anlgY	anlgU	anlgV	x_mean	y_mean	joy1_int	joy2_int
1247506	630	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	630	400	0	0
1253344	630	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17647064	0.0	0.0	0.0	630	400	8	0
1253375	630	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45098042	-0.38039213	0.0	0.0	630	400	41	0
1253406	630	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.79607844	-0.81960785	0.0	0.0	630	400	80	0
1253440	630	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	-1.0	0.0	0.0	630	400	100	0
1253474	630	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	-1.0	0.0	0.0	630	400	100	0
1253509	630	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	-1.0	0.0	0.0	630	400	100	0
1253539	630	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	-1.0	0.0	0.0	630	400	100	0
1253573	630	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	-1.0	0.0	0.0	630	400	100	0
1253606	630	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	-1.0	0.0	0.0	630	400	100	0
1253640	630	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	-1.0	0.0	0.0	630	400	100	0
1253677	630	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	-1.0	0.0	0.0	630	400	100	0
1253708	630	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	-1.0	0.0	0.0	630	400	100	0
1253740	630	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	-1.0	0.0	0.0	630	400	100	0
1253772	630	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	-1.0	0.0	0.0	630	400	100	0
1253805	630	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	-1.0	0.0	0.0	630	400	100	0
1253839	630	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	-1.0	0.0	0.0	630	400	100	0
1253875	630	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	-0.88235295	0.0	0.0	630	400	94	0
1253906	630	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5921569	-0.60784316	0.0	0.0	630	400	60	0
1255444	630	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	630	400	0	0
1255475	630	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	630	400	0	0
1255506	630	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	630	400	0	0
1255543	630	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	630	400	0	0
1255576	630	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	660	400	0	0
1255610	660	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	690	400	0	0
1255642	690	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	720	400	0	0
1255676	720	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	750	400	0	0
1255709	750	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	780	400	0	0
1255743	780	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	810	400	0	0
1255776	810	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	840	400	0	0
1255809	840	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	870	400	0	0
1255842	870	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	900	400	0	0
1255876	900	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	930	400	0	0
1255909	930	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	960	400	0	0
1255942	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1255975	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256008	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256042	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256075	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256109	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256141	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256175	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256208	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256242	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256275	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256308	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256341	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256375	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256408	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256441	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256474	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256508	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256542	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256574	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256607	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256640	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256674	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256707	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256743	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256773	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256807	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256839	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256873	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
1256907	960	400	192	199	0	0	131	253	224	255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	960	400	0	0
