millis	xpos	ypos	sX	sY	dpX	dpY	red	green	blue	opacity	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	down	left	right	anlgX	anlgY	anlgU	anlgV	x_mean	y_mean	joy1_int	joy2_int
3791179	16	715	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	800	0	0
3796077	-66	723	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	800	0	0
3796108	-104	798	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.20784318	-0.15294117	0.0	0.0	6	795	18	0
3796144	-81	779	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.4666667	-0.32549018	0.0	0.0	20	785	39	0
3796177	-7	827	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.88235295	-0.69411767	0.0	0.0	46	764	78	0
3796213	42	756	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.0	-0.8745098	0.0	0.0	76	737	93	0
3796243	96	789	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.0	-0.8745098	0.0	0.0	106	710	93	0
3796277	198	649	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.0	-0.8745098	0.0	0.0	136	683	93	0
3796310	113	768	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.0	-0.8745098	0.0	0.0	166	656	93	0
3796343	208	660	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.0	-0.8745098	0.0	0.0	196	629	93	0
3796377	232	634	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.0	-0.8745098	0.0	0.0	226	602	93	0
3796412	325	590	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.0	-0.79607844	0.0	0.0	256	578	89	0
3796443	212	653	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.0	-0.73333335	0.0	0.0	286	556	86	0
3796476	341	558	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.0	-0.5058824	0.0	0.0	316	540	75	0
3796509	369	517	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.0	-0.4352941	0.0	0.0	346	526	71	0
3796543	414	487	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.0	-0.4352941	0.0	0.0	376	512	71	0
3796576	349	444	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.0	-0.4352941	0.0	0.0	406	498	71	0
3796609	399	475	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.0	-0.4352941	0.0	0.0	436	484	71	0
3796643	272	526	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.9764706	-0.4352941	0.0	0.0	465	470	70	0
3796676	541	448	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.43529415	-0.41960782	0.0	0.0	478	457	42	0
3796708	471	462	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	478	457	0	0
3796742	422	444	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	478	457	0	0
3796775	311	452	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	478	457	0	0
3796808	455	468	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	478	457	0	0
3796843	406	388	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	478	457	0	0
3796875	433	445	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	478	457	0	0
3796908	479	464	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	478	457	0	0
3796941	572	399	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.20784318	0.0	0.0	0.0	484	457	10	0
3796975	400	424	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.43529415	0.28627455	0.0	0.0	497	465	7	0
3797009	532	429	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.73333335	0.41960788	0.0	0.0	519	477	15	0
3797041	450	493	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.85882354	0.41960788	0.0	0.0	544	489	21	0
3797075	565	576	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.8666667	0.41960788	0.0	0.0	570	501	22	0
3797108	638	387	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.3176471	0.0	0.0	0.0	579	501	15	0
3797146	633	603	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	579	501	0	0
3797174	611	489	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	579	501	0	0
3797207	728	597	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	579	501	0	0
3797246	492	467	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	579	501	0	0
3797279	562	559	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	579	501	0	0
3797307	552	525	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	579	501	0	0
3797346	618	571	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	579	501	0	0
3797374	503	563	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	579	501	0	0
3797412	529	481	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	579	501	0	0
3797445	555	515	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	579	501	0	0
3797478	572	494	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	579	501	0	0
3797512	625	537	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	579	501	0	0
3797546	589	414	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	579	501	0	0
3797578	604	514	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	579	501	0	0
3797612	591	451	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	579	501	0	0
3797645	639	568	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	579	501	0	0
3797678	580	515	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	579	501	0	0
3797712	590	437	440	306	60	60	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	579	501	0	0
