millis	xpos	ypos	sX	sY	dpX	dpY	red	green	blue	opacity	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	down	left	right	anlgX	anlgY	anlgU	anlgV	x_mean	y_mean	joy1_int	joy2_int
725	1032	299	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
1563	770	48	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
1597	1127	1081	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
1632	725	853	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
1667	635	267	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
1697	745	255	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
1731	613	391	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
1767	872	29	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
1801	568	110	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
1832	746	915	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
1867	1123	635	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
1902	913	661	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
1934	690	644	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
1967	638	634	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
2001	644	690	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
2035	810	179	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
2068	610	272	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
2100	533	-212	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
2134	817	408	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
2168	1037	167	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
2201	494	319	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
2233	212	638	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
2268	493	760	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
2300	837	317	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
2335	496	337	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
2366	516	307	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
2401	806	798	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
2433	729	402	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
2468	885	774	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
2500	1308	271	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
2535	538	864	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
2567	374	263	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
2599	114	-148	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
2633	175	47	350	350	300	300	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.46666664	0.17647064	640	400	0	-33
