millis	xpos	ypos	sX	sY	dpX	dpY	red	green	blue	opacity	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	down	left	right	anlgX	anlgY	anlgU	anlgV	x_mean	y_mean	joy1_int	joy2_int
1953873	853	659	394	59	12	365	255	162	112	255	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	840	420	0	0
1964668	846	417	105	301	209	159	255	162	112	255	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	840	420	0	0
1964701	836	156	233	34	184	105	114	225	49	255	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	840	420	0	0
1964735	861	408	101	10	123	50	175	93	175	255	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	840	420	0	0
1970838	803	377	101	10	123	50	111	16	121	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-0.15294117	0.0	0.0	840	420	7	0
1970865	740	417	101	10	123	50	111	16	121	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-0.18431371	0.0	0.0	840	420	9	0
1970905	824	304	101	10	123	50	111	16	121	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-0.20784312	0.0	0.0	840	420	10	0
1970937	881	362	101	10	123	50	111	16	121	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-0.23137254	0.0	0.0	840	420	11	0
1970969	852	460	101	10	123	50	111	16	121	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-0.27058822	0.0	0.0	840	420	13	0
1971001	911	321	101	10	123	50	111	16	121	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17647064	-0.30196077	0.0	0.0	840	420	23	0
1971041	996	521	101	10	123	50	111	16	121	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2313726	-0.35686272	0.0	0.0	840	420	29	0
1971065	513	415	101	10	123	50	111	16	121	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27843142	-0.38039213	0.0	0.0	840	420	32	0
1971099	818	498	101	10	123	50	111	16	121	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28627455	-0.3960784	0.0	0.0	840	420	34	0
1971137	862	419	101	10	123	50	111	16	121	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28627455	-0.40392154	0.0	0.0	840	420	34	0
1971170	1013	417	101	10	123	50	111	16	121	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28627455	-0.40392154	0.0	0.0	840	420	34	0
1971203	888	317	101	10	123	50	111	16	121	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30196083	-0.40392154	0.0	0.0	840	420	35	0
1971237	775	470	101	10	123	50	111	16	121	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30196083	-0.40392154	0.0	0.0	840	420	35	0
1971268	823	430	101	10	123	50	111	16	121	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30196083	-0.40392154	0.0	0.0	840	420	35	0
1971303	969	415	101	10	123	50	111	16	121	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30196083	-0.40392154	0.0	0.0	840	420	35	0
1971336	936	483	101	10	123	50	111	16	121	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30196083	-0.40392154	0.0	0.0	840	420	35	0
1971369	981	466	101	10	123	50	111	16	121	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30196083	-0.40392154	0.0	0.0	840	420	35	0
1971401	708	362	101	10	123	50	111	16	121	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3176471	-0.40392154	0.0	0.0	840	420	36	0
1971436	910	429	101	10	123	50	111	16	121	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3176471	-0.40392154	0.0	0.0	840	420	36	0
1971469	708	429	101	10	123	50	111	16	121	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3176471	-0.42745095	0.0	0.0	840	420	37	0
1971503	783	487	101	10	123	50	111	16	121	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3176471	-0.5372549	0.0	0.0	840	420	42	0
1971536	788	386	101	10	123	50	111	16	121	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33333337	-0.79607844	0.0	0.0	840	420	56	0
1971568	1001	413	101	10	123	50	111	16	121	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35686278	-0.9372549	0.0	0.0	840	420	64	0
