"sessionLog"	"actionFrames"	"totalTime_secs"	"imgExports"	"p_16sec"	"p_8sec"	"p_4sec"	"p_2sec"	"p_1sec"	"pauseMin"	"pauseMax"	"pauseMedian"	"pauseMean"
"19"	"2017-04-08-21-09-15_gamepadKeys.txt"	4243	264.009	0	0	2	8	15	30	0.0229999999999109	14.337	0.0330000000000155	0.0622369165487977
"20"	"2017-04-08-21-13-39_gamepadKeys.txt"	17668	922.527	2	2	7	19	34	59	0.0220000000000482	24.703	0.0330000000000155	0.0522175241976566
"21"	"2017-04-08-21-29-03_gamepadKeys.txt"	8988	430.143	0	0	1	5	19	33	0.0219999999999345	9.70000000000005	0.0330000000001291	0.0478628018248581
"22"	"2017-04-08-21-36-14_gamepadKeys.txt"	155	7.297	0	0	0	0	0	0	0.0239999999998872	0.59699999999998	0.0330000000001291	0.047383116883117
"23"	"2017-04-08-21-36-22_gamepadKeys.txt"	145	5.336	0	0	0	0	0	0	0.0249999999998636	0.563999999999851	0.0330000000001291	0.0370555555555556
"24"	"2017-04-08-21-36-29_gamepadKeys.txt"	1443	76.631	0	0	1	3	4	4	0.0229999999999109	10.7949999999998	0.0330000000001291	0.053142163661581
"25"	"2017-04-08-21-37-46_gamepadKeys.txt"	21795	1167.394	6	2	12	23	40	74	0.0219999999999345	29.6980000000003	0.0329999999999018	0.0535649261264568
"26"	"2017-04-09-02-21-13_gamepadKeys.txt"	10862	857.098	7	2	4	5	16	25	0.0219999999999914	357.211	0.0330000000000155	0.0789152011785287
"27"	"2017-04-09-02-37-54_gamepadKeys.txt"	59370	2539.658	14	4	6	21	43	83	0.0180000000000291	109.035	0.0330000000001291	0.0427775101483939
"28"	"2017-04-09-03-24-24_gamepadKeys.txt"	32893	1316.034	6	0	3	9	23	50	0.0209999999997308	14.232	0.0330000000003565	0.0400107624954396
"29"	"2017-04-09-03-46-20_gamepadKeys.txt"	1406	60.302	0	0	0	0	0	5	0.0219999999999345	1.82800000000043	0.0330000000003565	0.0429195729537364
"30"	"2017-04-09-03-47-59_gamepadKeys.txt"	73	9.835	0	0	0	1	1	1	0.024000000000342	7.47100000000046	0.0330000000003565	0.136597222222223
"31"	"2017-04-09-03-48-10_gamepadKeys.txt"	27	1.266	0	0	0	0	0	0	0.0309999999999491	0.430999999999585	0.0330000000003565	0.0486923076922931
"32"	"2017-04-09-03-48-12_gamepadKeys.txt"	251	13.533	0	0	0	0	1	1	0.0230000000001382	3.69999999999982	0.0330000000003565	0.0541320000000014
"33"	"2017-04-09-03-48-26_gamepadKeys.txt"	48	4.631	0	0	0	0	0	2	0.0239999999994325	1.29899999999998	0.0330000000003565	0.0985319148936237
"34"	"2017-04-09-03-48-31_gamepadKeys.txt"	1	0	0	0	0	0	0	0	Inf	-Inf	NA	NA
"35"	"2017-04-09-03-48-32_gamepadKeys.txt"	1847	87.659	0	0	0	1	4	5	0.0229999999992287	7.56600000000071	0.0330000000003565	0.0474859154929576
"36"	"2017-04-09-18-37-21_gamepadKeys.txt"	390	13.773	0	0	0	0	0	0	0.0289999999999999	0.838	0.0330000000000004	0.0354061696658098
"37"	"2017-04-09-18-37-44_gamepadKeys.txt"	8802	353.792	1	0	1	2	8	16	0.00499999999999545	12.501	0.0330000000000155	0.0401990682876946
"38"	"2017-04-09-18-43-37_gamepadKeys.txt"	1	0	0	0	0	0	0	0	Inf	-Inf	NA	NA
"39"	"2017-04-09-18-43-38_gamepadKeys.txt"	4345	145.675	1	0	0	0	0	0	0.0040000000000191	0.600999999999999	0.0330000000000155	0.0335347605893186
"40"	"2017-04-09-18-46-03_gamepadKeys.txt"	119	3.935	0	0	0	0	0	0	0.02800000000002	0.0390000000000441	0.0330000000000155	0.0333474576271187
"41"	"2017-04-09-18-46-45_gamepadKeys.txt"	2255	112.737	0	0	1	4	4	5	0.0279999999999987	10.4	0.0330000000000013	0.0500164152617569
"42"	"2017-04-09-18-48-45_gamepadKeys.txt"	12031	629.167	1	1	4	14	27	52	0.0279999999999063	17.373	0.0330000000000155	0.0522998337489609
"43"	"2017-04-09-18-59-15_gamepadKeys.txt"	1053	47.503	0	0	0	1	3	5	0.02800000000002	4.70100000000002	0.0330000000000155	0.0451549429657795
"44"	"2017-04-09-19-00-03_gamepadKeys.txt"	11752	746	2	5	15	21	34	51	0.0279999999997926	36.373	0.0330000000001291	0.063483958812016
