"sessionLog"	"actionFrames"	"totalTime_secs"	"imgExports"	"p_16sec"	"p_8sec"	"p_4sec"	"p_2sec"	"p_1sec"	"pauseMin"	"pauseMax"	"pauseMedian"	"pauseMean"
"1"	"2017-04-01-16-15-20_gamepadKeys.txt"	2423	100.736	0	0	0	1	2	6	0.027000000000001	6.269	0.0330000000000013	0.0415920726672172
"2"	"2017-04-01-16-17-13_gamepadKeys.txt"	6249	282.058	5	0	0	1	8	18	0.0269999999999868	4.37099999999998	0.0330000000000155	0.0451437259923175
"3"	"2017-04-01-16-21-58_gamepadKeys.txt"	6389	452.41	0	1	1	1	8	17	0.0259999999999536	193.271	0.0330000000000155	0.0708218534752661
"4"	"2017-04-01-16-29-35_gamepadKeys.txt"	6	5.366	0	0	0	1	1	1	0.0319999999999254	5.23300000000006	0.0339999999999918	1.0732
"5"	"2017-04-01-16-29-40_gamepadKeys.txt"	5194	325.988	1	0	4	9	23	33	0.02699999999993	12.9349999999999	0.0330000000001291	0.0627745041401887
"6"	"2017-04-01-16-35-07_gamepadKeys.txt"	707	32.298	0	0	0	0	0	2	0.02800000000002	1.23399999999992	0.0330000000001291	0.0457478753541077
"7"	"2017-04-01-16-35-40_gamepadKeys.txt"	622	25.767	0	0	0	0	0	3	0.0269999999998163	1.33699999999999	0.0330000000001291	0.0414927536231881
"8"	"2017-04-01-16-36-07_gamepadKeys.txt"	602	35.4	0	0	0	1	1	5	0.0269999999998163	5.83799999999997	0.0330000000001291	0.0589018302828617
"9"	"2017-04-01-16-36-45_gamepadKeys.txt"	1	0	0	0	0	0	0	0	Inf	-Inf	NA	NA
"10"	"2017-04-01-16-36-46_gamepadKeys.txt"	3884	284.852	2	0	5	10	22	34	0.0270000000000437	10.4280000000001	0.0330000000001291	0.0733587432397631
"11"	"2017-04-01-16-41-35_gamepadKeys.txt"	2708	244.849	2	1	2	5	9	17	0.0269999999998163	93.4059999999999	0.0330000000001291	0.0904503140007389
"12"	"2017-04-05-22-01-03_gamepadKeys.txt"	12576	643.641	1	2	6	10	22	44	0.0269999999999868	30.398	0.0330000000000155	0.0511841749502982
"13"	"2017-04-05-22-11-59_gamepadKeys.txt"	8540	370.965	2	0	1	3	9	17	0.0279999999999063	12.1	0.0330000000000155	0.0434436116641293
"14"	"2017-04-05-22-18-15_gamepadKeys.txt"	6295	296.779	1	1	2	4	7	14	0.0279999999997926	37.7639999999999	0.0330000000001291	0.0471526850969177
"15"	"2017-04-05-22-23-14_gamepadKeys.txt"	13849	604.617	2	1	4	8	14	29	0.0270000000000437	21.3000000000002	0.0330000000001291	0.0436609618717504
"16"	"2017-04-05-22-33-20_gamepadKeys.txt"	1724	130.21	2	1	1	4	8	14	0.0269999999998163	17.6010000000001	0.0339999999998781	0.0755716773070225
"17"	"2017-04-08-21-03-55_gamepadKeys.txt"	988	47.97	0	0	0	1	3	3	0.0260000000000105	7.297	0.0330000000000013	0.0486018237082067
"18"	"2017-04-08-21-05-05_gamepadKeys.txt"	4754	245.874	0	0	0	6	13	26	0.0269999999999868	6.77000000000001	0.0330000000000155	0.0517302756154008
