"items"	"support"
"[1]"	"{rightJoy}"	0.507465825446898
"[2]"	"{position}"	0.396424815983176
"[3]"	"{position,rightJoy}"	0.14279705573081
"[4]"	"{random}"	0.121345951629863
"[5]"	"{left}"	0.0904311251314406
"[6]"	"{down}"	0.0445846477392219
"[7]"	"{red}"	0.0443743427970557
"[8]"	"{random,rightJoy}"	0.0401682439537329
"[9]"	"{right}"	0.0372239747634069
"[10]"	"{blue}"	0.0323869610935857
"[11]"	"{down,left}"	0.0296529968454259
"[12]"	"{size}"	0.0288117770767613
"[13]"	"{up}"	0.0252365930599369
"[14]"	"{blue,rightJoy}"	0.0246056782334385
"[15]"	"{red,size}"	0.0214511041009464
"[16]"	"{position,left}"	0.0172450052576236
"[17]"	"{red,position}"	0.0170347003154574
"[18]"	"{up,left}"	0.01198738170347
"[19]"	"{green}"	0.00988433228180862
"[20]"	"{position,down}"	0.00841219768664564
"[21]"	"{random,right}"	0.00609884332281809
"[22]"	"{down,right}"	0.0056782334384858
"[23]"	"{position,right}"	0.00546792849631966
"[24]"	"{position,up}"	0.00525762355415352
"[25]"	"{random,down}"	0.0046267087276551
"[26]"	"{random,left}"	0.0046267087276551
"[27]"	"{green,size}"	0.00441640378548896
"[28]"	"{position,down,left}"	0.00399579390115668
"[29]"	"{green,position}"	0.00315457413249211
"[30]"	"{position,up,left}"	0.00273396424815983
"[31]"	"{random,down,left}"	0.00189274447949527
"[32]"	"{position,down,right}"	0.00147213459516299
"[33]"	"{saveIMG}"	0.000420609884332282
"[34]"	"{reset}"	0.000210304942166141
"[35]"	"{up,right}"	0.000210304942166141
